Prompt: Lumere feels: 1
Generated word: this: 10
Generated word: the: 103
Generated word: like: 127
Generated word: that: 527
Generated word: I'm: 2
Generated word: about: 14
Generated word: he: 5
Generated word: a: 43
Generated word: its: 3
Generated word: it: 15
Generated word: in: 5
Generated word: I’ve: 1
Generated word: ,: 22
Generated word: confident.: 1
Generated word: you: 2
Generated word: confident: 1
Generated word: it's: 5
Generated word: more: 9
Generated word: on: 3
Generated word: very: 3
Generated word: and: 3
Generated word: good: 1
Generated word: threatened: 4
Generated word: compelled: 3
Generated word: ‘The: 1
Generated word: that,: 13
Generated word: free: 5
Generated word: it’s: 3
Generated word: nothing: 2
Generated word: as: 11
Generated word: :: 4
Generated word: at: 3
Generated word: fearful: 1
Generated word: are: 1
Generated word: no: 3
Generated word: .: 3
Generated word: with: 3
Generated word: so: 2
Generated word: threatened.: 1
Generated word: his: 3
Generated word: less: 2
Generated word: good,: 1
Generated word: to: 6
Generated word: For: 1
Generated word: you're: 1
Generated word: we: 2
Generated word: “a: 1
Generated word: one: 1
Generated word: an: 5
Generated word: she: 1
Generated word: not: 2
Generated word: guilty: 1
Generated word: lost: 2
Generated word: there: 2
Generated word: of: 1
: 1
